Streaming output truncated to the last 5000 lines.
Iteration 334: Best Cost = 488.0, Tabu Size = 253
Iteration 335: Best Cost = 488.0, Tabu Size = 254
Iteration 336: Best Cost = 488.0, Tabu Size = 254
Iteration 337: Best Cost = 488.0, Tabu Size = 254
Iteration 338: Best Cost = 488.0, Tabu Size = 254
Iteration 339: Best Cost = 488.0, Tabu Size = 255
Iteration 340: Best Cost = 488.0, Tabu Size = 256
Iteration 341: Best Cost = 488.0, Tabu Size = 257
Iteration 342: Best Cost = 488.0, Tabu Size = 258
Iteration 343: Best Cost = 488.0, Tabu Size = 259
Iteration 344: Best Cost = 488.0, Tabu Size = 260
Iteration 345: Best Cost = 488.0, Tabu Size = 261
Iteration 346: Best Cost = 488.0, Tabu Size = 262
Iteration 347: Best Cost = 488.0, Tabu Size = 262
Iteration 348: Best Cost = 488.0, Tabu Size = 262
Iteration 349: Best Cost = 488.0, Tabu Size = 262
Iteration 350: Best Cost = 488.0, Tabu Size = 262
Iteration 351: Best Cost = 488.0, Tabu Size = 262
Iteration 352: Best Cost = 488.0, Tabu Size = 262
Iteration 353: Best Cost = 488.0, Tabu Size = 262
Iteration 354: Best Cost = 488.0, Tabu Size = 262
Iteration 355: Best Cost = 488.0, Tabu Size = 262
Iteration 356: Best Cost = 488.0, Tabu Size = 263
Iteration 357: Best Cost = 488.0, Tabu Size = 264
Iteration 358: Best Cost = 488.0, Tabu Size = 265
Iteration 359: Best Cost = 488.0, Tabu Size = 266
Iteration 360: Best Cost = 488.0, Tabu Size = 267
Iteration 361: Best Cost = 488.0, Tabu Size = 268
Iteration 362: Best Cost = 488.0, Tabu Size = 268
Iteration 363: Best Cost = 488.0, Tabu Size = 268
Iteration 364: Best Cost = 488.0, Tabu Size = 268
Iteration 365: Best Cost = 488.0, Tabu Size = 268
Iteration 366: Best Cost = 488.0, Tabu Size = 268
Iteration 367: Best Cost = 488.0, Tabu Size = 268
Iteration 368: Best Cost = 488.0, Tabu Size = 268
Iteration 369: Best Cost = 488.0, Tabu Size = 268
Iteration 370: Best Cost = 488.0, Tabu Size = 268
Iteration 371: Best Cost = 488.0, Tabu Size = 268
Iteration 372: Best Cost = 488.0, Tabu Size = 268
Iteration 373: Best Cost = 488.0, Tabu Size = 268
Iteration 374: Best Cost = 488.0, Tabu Size = 269
Iteration 375: Best Cost = 488.0, Tabu Size = 270
Iteration 376: Best Cost = 488.0, Tabu Size = 271
Iteration 377: Best Cost = 488.0, Tabu Size = 272
Iteration 378: Best Cost = 488.0, Tabu Size = 273
Iteration 379: Best Cost = 488.0, Tabu Size = 274
Iteration 380: Best Cost = 488.0, Tabu Size = 274
Iteration 381: Best Cost = 488.0, Tabu Size = 274
Iteration 382: Best Cost = 488.0, Tabu Size = 274
Iteration 383: Best Cost = 488.0, Tabu Size = 274
Iteration 384: Best Cost = 488.0, Tabu Size = 274
Iteration 385: Best Cost = 488.0, Tabu Size = 274
Iteration 386: Best Cost = 488.0, Tabu Size = 274
Iteration 387: Best Cost = 488.0, Tabu Size = 274
Iteration 388: Best Cost = 488.0, Tabu Size = 274
Iteration 389: Best Cost = 488.0, Tabu Size = 274
Iteration 390: Best Cost = 488.0, Tabu Size = 274
Iteration 391: Best Cost = 488.0, Tabu Size = 274
Iteration 392: Best Cost = 488.0, Tabu Size = 274
Iteration 393: Best Cost = 488.0, Tabu Size = 274
Iteration 394: Best Cost = 488.0, Tabu Size = 274
Iteration 395: Best Cost = 488.0, Tabu Size = 274
Iteration 396: Best Cost = 488.0, Tabu Size = 274
Iteration 397: Best Cost = 488.0, Tabu Size = 274
Iteration 398: Best Cost = 488.0, Tabu Size = 274
Iteration 399: Best Cost = 488.0, Tabu Size = 274
Iteration 400: Best Cost = 488.0, Tabu Size = 274
Iteration 401: Best Cost = 488.0, Tabu Size = 274
Iteration 402: Best Cost = 488.0, Tabu Size = 274
Iteration 403: Best Cost = 488.0, Tabu Size = 274
Iteration 404: Best Cost = 488.0, Tabu Size = 274
Iteration 405: Best Cost = 488.0, Tabu Size = 274
Iteration 406: Best Cost = 488.0, Tabu Size = 274
Iteration 407: Best Cost = 488.0, Tabu Size = 274
Iteration 408: Best Cost = 488.0, Tabu Size = 274
Iteration 409: Best Cost = 488.0, Tabu Size = 274
Iteration 410: Best Cost = 488.0, Tabu Size = 274
Iteration 411: Best Cost = 488.0, Tabu Size = 274
Iteration 412: Best Cost = 488.0, Tabu Size = 274
Iteration 413: Best Cost = 488.0, Tabu Size = 274
Iteration 414: Best Cost = 488.0, Tabu Size = 274
Iteration 415: Best Cost = 488.0, Tabu Size = 274
Iteration 416: Best Cost = 488.0, Tabu Size = 274
Iteration 417: Best Cost = 488.0, Tabu Size = 274
Iteration 418: Best Cost = 488.0, Tabu Size = 274
Iteration 419: Best Cost = 488.0, Tabu Size = 274
Iteration 420: Best Cost = 488.0, Tabu Size = 274
Iteration 421: Best Cost = 488.0, Tabu Size = 274
Iteration 422: Best Cost = 488.0, Tabu Size = 274
Iteration 423: Best Cost = 488.0, Tabu Size = 274
Iteration 424: Best Cost = 488.0, Tabu Size = 274
Iteration 425: Best Cost = 488.0, Tabu Size = 274
Iteration 426: Best Cost = 488.0, Tabu Size = 274
Iteration 427: Best Cost = 488.0, Tabu Size = 274
Iteration 428: Best Cost = 488.0, Tabu Size = 274
Iteration 429: Best Cost = 488.0, Tabu Size = 274
Iteration 430: Best Cost = 488.0, Tabu Size = 274
Iteration 431: Best Cost = 488.0, Tabu Size = 274
Iteration 432: Best Cost = 488.0, Tabu Size = 274
Iteration 433: Best Cost = 488.0, Tabu Size = 274
Iteration 434: Best Cost = 488.0, Tabu Size = 274
Iteration 435: Best Cost = 488.0, Tabu Size = 274
Iteration 436: Best Cost = 488.0, Tabu Size = 274
Iteration 437: Best Cost = 488.0, Tabu Size = 274
Iteration 438: Best Cost = 488.0, Tabu Size = 274
Iteration 439: Best Cost = 488.0, Tabu Size = 274
Iteration 440: Best Cost = 488.0, Tabu Size = 274
Iteration 441: Best Cost = 488.0, Tabu Size = 274
Iteration 442: Best Cost = 488.0, Tabu Size = 274
Iteration 443: Best Cost = 488.0, Tabu Size = 274
Iteration 444: Best Cost = 488.0, Tabu Size = 274
Iteration 445: Best Cost = 488.0, Tabu Size = 274
Iteration 446: Best Cost = 488.0, Tabu Size = 274
Iteration 447: Best Cost = 488.0, Tabu Size = 274
Iteration 448: Best Cost = 488.0, Tabu Size = 274
Iteration 449: Best Cost = 488.0, Tabu Size = 274
Iteration 450: Best Cost = 488.0, Tabu Size = 274
Iteration 451: Best Cost = 488.0, Tabu Size = 274
Iteration 452: Best Cost = 488.0, Tabu Size = 274
Iteration 453: Best Cost = 488.0, Tabu Size = 274
Iteration 454: Best Cost = 488.0, Tabu Size = 274
Iteration 455: Best Cost = 488.0, Tabu Size = 274
Iteration 456: Best Cost = 488.0, Tabu Size = 274
Iteration 457: Best Cost = 488.0, Tabu Size = 274
Iteration 458: Best Cost = 488.0, Tabu Size = 274
Iteration 459: Best Cost = 488.0, Tabu Size = 274
Iteration 460: Best Cost = 488.0, Tabu Size = 274
Iteration 461: Best Cost = 488.0, Tabu Size = 274
Iteration 462: Best Cost = 488.0, Tabu Size = 274
Iteration 463: Best Cost = 488.0, Tabu Size = 274
Iteration 464: Best Cost = 488.0, Tabu Size = 274
Iteration 465: Best Cost = 488.0, Tabu Size = 274
Iteration 466: Best Cost = 488.0, Tabu Size = 274
Iteration 467: Best Cost = 488.0, Tabu Size = 274
Iteration 468: Best Cost = 488.0, Tabu Size = 274
Iteration 469: Best Cost = 488.0, Tabu Size = 274
Iteration 470: Best Cost = 488.0, Tabu Size = 274
Iteration 471: Best Cost = 488.0, Tabu Size = 274
Iteration 472: Best Cost = 488.0, Tabu Size = 274
Iteration 473: Best Cost = 488.0, Tabu Size = 274
Iteration 474: Best Cost = 488.0, Tabu Size = 274
Iteration 475: Best Cost = 488.0, Tabu Size = 274
Iteration 476: Best Cost = 488.0, Tabu Size = 274
Iteration 477: Best Cost = 488.0, Tabu Size = 274
Iteration 478: Best Cost = 488.0, Tabu Size = 274
Iteration 479: Best Cost = 488.0, Tabu Size = 274
Iteration 480: Best Cost = 488.0, Tabu Size = 274
Iteration 481: Best Cost = 488.0, Tabu Size = 274
Iteration 482: Best Cost = 488.0, Tabu Size = 274
Iteration 483: Best Cost = 488.0, Tabu Size = 274
Iteration 484: Best Cost = 488.0, Tabu Size = 274
Iteration 485: Best Cost = 488.0, Tabu Size = 274
Iteration 486: Best Cost = 488.0, Tabu Size = 274
Iteration 487: Best Cost = 488.0, Tabu Size = 274
Iteration 488: Best Cost = 488.0, Tabu Size = 274
Iteration 489: Best Cost = 488.0, Tabu Size = 274
Iteration 490: Best Cost = 488.0, Tabu Size = 274
Iteration 491: Best Cost = 488.0, Tabu Size = 274
Iteration 492: Best Cost = 488.0, Tabu Size = 274
Iteration 493: Best Cost = 488.0, Tabu Size = 274
Iteration 494: Best Cost = 488.0, Tabu Size = 274
Iteration 495: Best Cost = 488.0, Tabu Size = 274
Iteration 496: Best Cost = 488.0, Tabu Size = 274
